START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,3,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,3,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,5,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,5,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,5,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,5,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,6,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,6,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,6,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,6,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,7,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,7,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,7,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,7,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,9,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,9,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,9,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,9,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,10,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,10,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,10,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,10,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,11,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,11,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,11,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,11,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,13,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,13,12,Red,40,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,13,13,Green,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,13,14,Blue,51,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,14,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,14,12,Red,40,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,14,13,Green,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,14,14,Blue,51,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,15,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,15,12,Red,40,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,15,13,Green,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,15,14,Blue,51,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,16,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,16,12,Red,40,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,16,13,Green,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,16,14,Blue,51,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,17,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,17,12,Red,40,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,17,13,Green,90,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.2,,37,12,Red,0,,,,,,,,,,,,,,,,,,,,,,,,,
